ticker,cik,name,mcap_usd,mcap_bucket,sources,reasons,time_state,state_note,time_state_v50,state_note_v50,ctgov_upcoming_count,adcom_upcoming_count
NRIX,0001549595,"Nurix Therapeutics, Inc.",1196954826,1B-5B,a_readout,결과 발표 D-day 2026-07-10 · dir=unclassified · kw=pivotal,C,,A,CT.gov NCT05131022 완료 예정 D-123 (2027-01 · PHASE1),1,0
OCUL,0001393434,"OCULAR THERAPEUTIX, INC",845014207,300M-1B,a_readout,결과 발표 D-day 2026-08-03 · dir=unclassified · kw=pivotal|primary endpoint|topline,C,,A,CT.gov NCT06495918 완료 예정 D-116 (2027-01-08 · PHASE3),2,0
PASG,0001787297,"Passage BIO, Inc.",256578370,50M-300M,b_ctgov,H6 최근 상위 3분위 테마 meal_replacement_metabolic 소속 (CT.gov 활동 근사 · 2021Q1),C,,C,,0,0
PMVP,0001699382,"PMV Pharmaceuticals, Inc.",66287992,50M-300M,a_readout,결과 발표 D-day 2026-09-01 · dir=unclassified · kw=pivotal,B,발표 후 13일 (2026-09-01 · dir=unclassified),A,CT.gov NCT07372625 완료 예정 D-182 (2027-03 · PHASE1),1,0
RLMD,0001553643,"RELMADA THERAPEUTICS, INC.",125165497,50M-300M,a_readout,결과 발표 D-day 2026-08-07 · dir=unclassified · kw=primary endpoint|top-line || 결과 발표 D-day 2026-07-28 · dir=unclassified · kw=top-line,C,,C,,0,0
RXRX,0001601830,"RECURSION PHARMACEUTICALS, INC.",966530885,300M-1B,a_readout,결과 발표 D-day 2026-08-05 · dir=unclassified · kw=pivotal,C,,A,CT.gov NCT05552755 완료 예정 D-274 (2027-06 · PHASE1|PHASE2),1,0
SLN,0001479615,Silence Therapeutics plc,1327916005,1B-5B,a_readout,결과 발표 D-day 2026-08-10 · dir=positive · kw=phase 2 results|phase 2 topline|primary  || 결과 발표 D-day 2026-08-10 · dir=unclassified · kw=topline || 결과 발표 D-day 2026-06-24 · dir=unclassified · kw=primary endpoint|topline,C,,A,CT.gov NCT05499013 완료 예정 D-1 (2026-09 · PHASE1|PHASE2),1,0
SPRY,0001671858,"ARS Pharmaceuticals, Inc.",541872307,300M-1B,a_readout,결과 발표 D-day 2026-08-14 · dir=unclassified · kw=pivotal,C,,A,CT.gov NCT06834165 완료 예정 D-213 (2027-04 · PHASE4),2,0
SRRK,0001727196,Scholar Rock Holding Corp,4250292845,1B-5B,a_readout,결과 발표 D-day 2026-08-06 · dir=positive · kw=pivotal|primary endpoint|topline,C,,C,,0,0
STOK,0001623526,"Stoke Therapeutics, Inc.",1588479628,1B-5B,a_readout,결과 발표 D-day 2026-08-04 · dir=unclassified · kw=pivotal|primary endpoint || 결과 발표 D-day 2026-06-30 · dir=unclassified · kw=pivotal|primary endpoint,C,,A,CT.gov NCT06872125 완료 예정 D-182 (2027-03 · PHASE3),1,0
STTK,0001680367,"Shattuck Labs, Inc.",698528244,300M-1B,a_readout,결과 발표 D-day 2026-08-11 · dir=unclassified · kw=primary endpoint,C,,C,,0,0
SYRE,0001636282,"Spyre Therapeutics, Inc.",353268880,300M-1B,a_readout,결과 발표 D-day 2026-08-26 · dir=mixed · kw=primary endpoint|topline || 결과 발표 D-day 2026-08-05 · dir=positive · kw=phase 2 results|pivotal|topline,B,발표 후 19일 (2026-08-26 · dir=mixed),A,CT.gov NCT07148414 완료 예정 D-47 (2026-10-31 · PHASE2),3,0
TBPH,0001583107,"Theravance Biopharma, Inc.",886772314,300M-1B,a_readout,결과 발표 D-day 2026-08-26 · dir=mixed · kw=pivotal|primary endpoint || 결과 발표 D-day 2026-06-29 · dir=unclassified · kw=topline,B,발표 후 19일 (2026-08-26 · dir=mixed),B,발표 후 19일 (2026-08-26 · dir=mixed),0,0
TECX,0001681087,"Tectonic Therapeutic, Inc.",1313966723,1B-5B,a_readout,결과 발표 D-day 2026-08-07 · dir=unclassified · kw=phase 2 topline|primary endpoint|topline,C,,C,,0,0
URGN,0001668243,UroGen Pharma Ltd.,1385280474,1B-5B,a_readout,결과 발표 D-day 2026-08-05 · dir=unclassified · kw=pivotal,C,,A,CT.gov NCT06774131 완료 예정 D-182 (2027-03 · PHASE3),1,0
VRCA,0001660334,Verrica Pharmaceuticals Inc.,92078295,50M-300M,a_readout,결과 발표 D-day 2026-08-07 · dir=unclassified · kw=pivotal|topline,C,,A,CT.gov NCT07637734 완료 예정 D-243 (2027-05 · PHASE3),2,0
VRDN,0001590750,"Viridian Therapeutics, Inc.\DE",1239521082,1B-5B,a_readout,결과 발표 D-day 2026-08-06 · dir=unclassified · kw=pivotal|topline || 결과 발표 D-day 2026-06-27 · dir=positive · kw=pivotal,C,,C,,0,0
VXRT,0000072444,"Vaxart, Inc.",53254271,50M-300M,a_readout,결과 발표 D-day 2026-08-07 · dir=unclassified · kw=primary endpoint|topline || 결과 발표 D-day 2026-07-18 · dir=unclassified · kw=topline || 결과 발표 D-day 2026-07-07 · dir=unclassified · kw=topline,C,,C,,0,0
