publication_date,meeting_date,committee,sponsor_raw,drug_raw,mapped_ticker,mapped_name,eligible,exclusion_reason,document_number,html_url,title
2021-03-12,2021-03-12,,,,,,False,short_lead,2021-05105,https://www.federalregister.gov/documents/2021/03/12/2021-05105/withdrawal-of-approval-of-five-abbreviated-new-drug-applications-for-bacitracin-for-injection,Withdrawal of Approval of Five Abbreviated New Drug Applications for Bacitracin for Injection
2021-03-12,2021-04-27,Oncologic Drugs Advisory Committee,,,,,True,,2021-05202,https://www.federalregister.gov/documents/2021/03/12/2021-05202/oncologic-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for,Oncologic Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-03-24,2021-05-24,,,,,,True,,2021-06060,https://www.federalregister.gov/documents/2021/03/24/2021-06060/list-of-bulk-drug-substances-for-which-there-is-a-clinical-need-under-the-federal-food-drug-and,"List of Bulk Drug Substances for Which There Is a Clinical Need Under the Federal Food, Drug, and Cosmetic Act"
2021-03-25,2021-04-26,Psychopharmacologic Drugs Advisory Committee,,,,,True,,2021-06206,https://www.federalregister.gov/documents/2021/03/25/2021-06206/request-for-nominations-for-individuals-and-consumer-organizations-for-advisory-committees,Request for Nominations for Individuals and Consumer Organizations for Advisory Committees
2021-03-26,2021-05-25,,,,,,True,,2021-06259,https://www.federalregister.gov/documents/2021/03/26/2021-06259/request-for-nominations-for-voting-members-on-a-public-advisory-committee-blood-products-advisory,Request for Nominations for Voting Members on a Public Advisory Committee; Blood Products Advisory Committee
2021-03-26,2021-05-06,,,,,,True,,2021-06265,https://www.federalregister.gov/documents/2021/03/26/2021-06265/arthritis-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for-comments,Arthritis Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-04-01,2021-05-27,Endocrinologic and Metabolic Drugs Advisory Committee,,,,,True,,2021-06708,https://www.federalregister.gov/documents/2021/04/01/2021-06708/endocrinologic-and-metabolic-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public,Endocrinologic and Metabolic Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-04-05,2021-05-11,,,,,,True,,2021-06930,https://www.federalregister.gov/documents/2021/04/05/2021-06930/science-advisory-board-to-the-national-center-for-toxicological-research-advisory-committee-notice,Science Advisory Board to the National Center for Toxicological Research Advisory Committee; Notice of Meeting
2021-04-13,2021-05-11,Oncologic Drugs Advisory Committee,,,,,True,,2021-07546,https://www.federalregister.gov/documents/2021/04/13/2021-07546/pediatric-oncology-subcommittee-of-the-oncologic-drugs-advisory-committee-notice-of-meeting,Pediatric Oncology Subcommittee of the Oncologic Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-04-13,2021-05-13,,,,,,True,,2021-07549,https://www.federalregister.gov/documents/2021/04/13/2021-07549/agency-information-collection-activities-submission-for-office-of-management-and-budget-review,Agency Information Collection Activities; Submission for Office of Management and Budget Review; Comment Request; Formal Dispute Resolution: Scientific and Technical Issues Related to Pharmaceutical C
2021-05-07,2021-06-09,,,,,,True,,2021-09621,https://www.federalregister.gov/documents/2021/05/07/2021-09621/pharmacy-compounding-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request,Pharmacy Compounding Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-05-14,,,,,,,False,no_meeting_date,2021-10167,https://www.federalregister.gov/documents/2021/05/14/2021-10167/neurological-devices-panel-of-the-medical-devices-advisory-committee-notice-of-meeting,Neurological Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting
2021-05-14,2021-06-24,Oncologic Drugs Advisory Committee,,,,,True,,2021-10181,https://www.federalregister.gov/documents/2021/05/14/2021-10181/oncologic-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request-for,Oncologic Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-05-21,2021-07-15,Cardiovascular and Renal Drugs Advisory Committee,,,,,True,,2021-10751,https://www.federalregister.gov/documents/2021/05/21/2021-10751/cardiovascular-and-renal-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket,Cardiovascular and Renal Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-05-21,2021-06-10,Vaccines and Related Biological Products Advisory Committee,,,,,True,,2021-10784,https://www.federalregister.gov/documents/2021/05/21/2021-10784/vaccines-and-related-biological-products-advisory-committee-notice-of-meeting-establishment-of-a,Vaccines and Related Biological Products Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
2021-06-10,,,,,,,False,no_meeting_date,2021-12174,https://www.federalregister.gov/documents/2021/06/10/2021-12174/advisory-committee-medical-imaging-drugs-advisory-committee-renewal,Advisory Committee; Medical Imaging Drugs Advisory Committee; Renewal
2021-06-11,2021-07-14,,,,,,True,,2021-12266,https://www.federalregister.gov/documents/2021/06/11/2021-12266/gastroenterology-and-urology-devices-panel-of-the-medical-devices-advisory-committee-notice-of,Gastroenterology and Urology Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting
2021-07-02,2021-08-03,,,,,,True,,2021-14212,https://www.federalregister.gov/documents/2021/07/02/2021-14212/circulatory-system-devices-panel-of-the-medical-devices-advisory-committee-notice-of-meeting,Circulatory System Devices Panel of the Medical Devices Advisory Committee; Notice of Meeting
2021-07-23,2021-08-09,,,,,,True,,2021-15685,https://www.federalregister.gov/documents/2021/07/23/2021-15685/international-drug-scheduling-convention-on-psychotropic-substances-single-convention-on-narcotic,"International Drug Scheduling; Convention on Psychotropic Substances; Single Convention on Narcotic Drugs; 4F-MDMB-BICA (4F-MDMB-BUTICA); Brorphine; Metonitazene; Eutylone (bk-EBDB); BMDP (3,4-Methyle"
2021-07-26,,,,,,,False,no_meeting_date,2021-15783,https://www.federalregister.gov/documents/2021/07/26/2021-15783/cellular-tissue-and-gene-therapies-advisory-committee-notice-of-meeting-establishment-of-a-public,"Cellular, Tissue and Gene Therapies Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments"
2021-07-29,2021-09-27,,,,,,True,,2021-16175,https://www.federalregister.gov/documents/2021/07/29/2021-16175/rabies-developing-monoclonal-antibody-cocktails-for-the-passive-immunization-component-of,Rabies: Developing Monoclonal Antibody Cocktails for the Passive Immunization Component of Post-Exposure Prophylaxis; Draft Guidance for Industry; Availability
2021-08-02,2021-10-07,,,,,,True,,2021-16356,https://www.federalregister.gov/documents/2021/08/02/2021-16356/antimicrobial-drugs-advisory-committee-notice-of-meeting-establishment-of-a-public-docket-request,Antimicrobial Drugs Advisory Committee; Notice of Meeting; Establishment of a Public Docket; Request for Comments
