ticker,ticker_source,target_cik,target_name,sic,sic_biotech,institutions,sc13d_new,sc13g_new,form4_all,form_amendment_count,form_other_count,total_events,first_event_date,accession_first_event,listing_status,form25_accession,form25_date
EVH,submissions.tickers,0001628908,"Evolent Health, Inc.",8741,False,RA Capital,0,1,0,0,0,1,2024-06-17,0001104659-24-072466,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001599901,"Avidity Biosciences, Inc.",2834,True,RA Capital,0,2,0,2,0,2,2022-12-30,0001104659-22-131370,DELISTED,0001354457-26-000224,2026-02-27
DNTH,submissions.tickers,0001690585,"Dianthus Therapeutics, Inc. /DE/",2834,True,Deep Track;RA Capital,0,2,0,4,0,2,2022-09-26,0001104659-22-103011,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001626199,"ALPINE IMMUNE SCIENCES, INC.",2834,True,OrbiMed;RA Capital,0,1,0,6,0,1,2022-10-03,0001104659-22-105295,DELISTED,0001354457-24-000354,2024-05-20
,미복구 · no 10-K/10-Q found,0001827506,"Tourmaline Bio, Inc.",2836,True,Deep Track;RA Capital,0,3,0,3,0,3,2023-07-06,0001104659-23-078764,DELISTED,0001354457-25-001066,2025-10-28
LAB,submissions.tickers,0001162194,STANDARD BIOTOOLS INC.,2834,True,OrbiMed;RA Capital,0,1,0,2,0,1,2022-03-24,0001104659-22-037517,DELISTED,0001571049-17-007165,2017-08-02
,미복구 · no 10-K/10-Q found,0001493566,"OTONOMY, INC.",2834,True,Baker Bros;OrbiMed;RA Capital,0,1,0,6,0,1,2021-10-25,0001104659-21-129528,DELISTED,0001354457-22-000800,2022-12-29
RLMD,submissions.tickers,0001553643,"RELMADA THERAPEUTICS, INC.",2834,True,Deep Track;Perceptive;RA Capital,0,3,0,5,0,3,2021-12-20,0001104659-21-151724,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001505512,Regulus Therapeutics Inc.,2834,True,Deep Track;RA Capital,0,2,0,1,0,2,2024-03-22,0001172661-24-001694,DELISTED,0001354457-25-000571,2025-06-25
TIL,submissions.tickers,0001789769,"Instil Bio, Inc.",2836,True,Perceptive;RA Capital,0,2,0,1,0,2,2022-06-22,0001104659-22-073528,ACTIVE,,
COGT,submissions.tickers,0001622229,"Cogent Biosciences, Inc.",2834,True,RA Capital,0,1,0,2,0,1,2022-09-06,0001104659-22-097869,ACTIVE,,
URGN,submissions.tickers,0001668243,UroGen Pharma Ltd.,2834,True,RA Capital,0,1,0,2,0,1,2023-12-29,0001104659-23-130500,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001822711,"PARDES BIOSCIENCES, INC.",2834,True,RA Capital,0,1,0,1,0,1,2022-01-10,0001104659-22-002791,DELISTED,0001354457-23-000611,2023-08-31
ANTX,submissions.tickers,0001880438,"AN2 Therapeutics, Inc.",2834,True,RA Capital,0,1,0,3,0,1,2022-04-08,0001104659-22-044249,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001739614,"Inhibrx, Inc.",2836,True,Perceptive;RA Capital,0,2,0,5,0,2,2022-07-19,0001193125-22-196480,DELISTED,0001354457-24-000361,2024-05-30
SERA,submissions.tickers,0001534969,"SERA PROGNOSTICS, INC.",8071,False,Baker Bros;RA Capital,0,2,0,1,0,2,2024-01-10,0001104659-24-003008,ACTIVE,,
ZURA,submissions.tickers,0001855644,Zura Bio Ltd,2836,True,Deep Track;RA Capital,0,2,0,2,0,2,2023-06-15,0001172661-23-002376,DELISTED,0001354457-24-000594,2024-08-27
GPCR,submissions.tickers,0001888886,Structure Therapeutics Inc.,2834,True,Deep Track;RA Capital,0,2,0,2,0,2,2023-02-03,0001172661-23-000436,ACTIVE,,
VERA,submissions.tickers,0001831828,"Vera Therapeutics, Inc.",2834,True,RA Capital,0,1,0,1,0,1,2022-02-24,0001104659-22-026621,ACTIVE,,
LRMR,submissions.tickers,0001374690,"Larimar Therapeutics, Inc.",2834,True,OrbiMed;Perceptive;RA Capital,0,2,0,4,0,2,2023-02-14,0001193125-23-038711,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001832168,"Longboard Pharmaceuticals, Inc.",2834,True,Farallon;RA Capital,0,1,0,4,0,1,2024-01-12,0001104659-24-003746,DELISTED,0001354457-24-000898,2024-12-02
,미복구 · no 10-K/10-Q found,0001401708,"NS Wind Down Co., Inc.",2836,True,Farallon;RA Capital,0,3,0,2,0,3,2022-04-28,0001104659-22-052374,DELISTED,0001354457-24-000250,2024-04-09
CCCC,submissions.tickers,0001662579,"C4 Therapeutics, Inc.",2836,True,OrbiMed;Perceptive;RA Capital,0,2,0,1,0,2,2023-12-26,0001104659-23-129222,ACTIVE,,
DYN,submissions.tickers,0001818794,"Dyne Therapeutics, Inc.",2834,True,Deep Track;RA Capital,0,3,0,7,0,3,2022-01-20,0001172661-22-000161,ACTIVE,,
HELP,submissions.tickers,0001833141,CYBIN INC.,2834,True,Deep Track;OrbiMed;RA Capital,0,3,0,1,0,3,2022-02-11,0000947871-22-000197,DELISTED,0001062993-26-000002,2026-01-02
,미복구 · no 10-K/10-Q found,0001809122,CureVac N.V.,2834,True,RA Capital,0,1,0,1,0,1,2023-03-27,0001104659-23-037170,DELISTED,0001354457-26-000010,2026-01-06
,미복구 · no 10-K/10-Q found,0001117480,CHIMERIX INC,2834,True,RA Capital,0,1,0,1,0,1,2023-09-29,0001104659-23-105374,DELISTED,0001354457-25-000340,2025-04-21
VERU,submissions.tickers,0000863894,VERU INC.,2834,True,Perceptive;RA Capital,0,2,0,2,0,2,2022-04-21,0001104659-22-048415,DELISTED,0001042167-09-000109,2009-06-08
NKTR,submissions.tickers,0000906709,NEKTAR THERAPEUTICS,2834,True,Deep Track;RA Capital,0,2,0,3,0,2,2023-04-14,0001172661-23-001702,ACTIVE,,
FRNM,submissions.tickers,0002017526,"Freenome, Inc.",8071,False,RA Capital,0,1,0,0,0,1,2024-06-24,0001104659-24-074387,DELISTED,0001354457-26-000709,2026-07-20
OBIO,submissions.tickers,0001814114,"Orchestra BioMed Holdings, Inc.",3841,False,Perceptive;RA Capital,0,2,0,2,0,2,2023-02-14,0001104659-23-021810,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001259942,BELLUS Health Inc.,2834,True,OrbiMed;Perceptive;RA Capital,0,2,0,5,0,2,2021-12-06,0001193125-21-349034,DELISTED,0001354457-23-000434,2023-06-28
PRAX,submissions.tickers,0001689548,"Praxis Precision Medicines, Inc.",2834,True,Perceptive;RA Capital,0,2,0,1,0,2,2024-07-01,0001104659-24-077011,ACTIVE,,
,미복구 · no 10-K/10-Q found,0001923840,"Third Harmonic Bio, Inc.",2834,True,OrbiMed;RA Capital,1,2,0,3,0,3,2022-09-26,0001104659-22-103003,DELISTED,0001193125-25-169817,2025-07-31
SYBX,submissions.tickers,0001527599,"SYNLOGIC, INC.",2834,True,OrbiMed;RA Capital,0,1,0,3,0,1,2021-10-01,0001104659-21-122000,DELISTED,0001354457-26-000470,2026-05-18
AVTX,submissions.tickers,0001534120,"Avalo Therapeutics, Inc.",2834,True,Deep Track;OrbiMed;RA Capital,0,3,0,0,0,3,2024-04-05,0001172661-24-001737,DELISTED,0001354457-18-000415,2018-10-17
ANRO,submissions.tickers,0001999480,"Alto Neuroscience, Inc.",2834,True,RA Capital,0,1,0,1,0,1,2024-03-29,0001104659-24-041071,ACTIVE,,
MDNAF,submissions.tickers,0001807983,Medicenna Therapeutics Corp.,2834,True,RA Capital,0,1,0,0,0,1,2024-05-10,0001104659-24-060023,DELISTED,0001354457-23-000876,2023-11-20
NAMS,submissions.tickers,0001936258,NewAmsterdam Pharma Co N.V.,2834,True,RA Capital,0,1,0,3,0,1,2022-12-02,0001104659-22-124124,ACTIVE,,
